,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
3723,brandy,chocolate shavings,cocoa powder,powdered sugar,mascarpone,vanilla extract,sugar,flour,espresso,ladyfingers,large egg yolks,heavy cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,white bread,olive oil,dried oregano,black pepper,cannellini beans,fettucine,artichoke hearts,kosher salt,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,olive oil,salt,white wine,linguine,large shrimp,tomatoes,red pepper flakes,fresh parsley,pepper,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726,grated parmesan cheese,heavy whipping cream,provolone cheese,butter,grated romano cheese,shredded mozzarella cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,water,garlic,plum tomatoes,arborio rice,green onions,coconut milk,white wine,fresh tarragon,frozen peas,olive oil,wild rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728,tomatoes,shell-on shrimp,squid,spaghetti,mussels,water,basil,California bay leaves,octopuses,basil leaves,garlic cloves,tentacles,unsalted butter,extra-virgin olive oil,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729,olive oil,grated parmesan cheese,red wine vinegar,italian seasoning,low-fat spaghetti sauce,zucchini,mushrooms,chopped onion,penne,chopped green bell pepper,cooking spray,salt,water,fresh thyme,chicken breasts,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3730,"green bell pepper, slice","sweet italian sausag links, cut into",ragu old world style sweet tomato basil pasta sauc,garlic,olive oil,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3731,orange bell pepper,purple onion,garlic cloves,olive oil,crushed red pepper flakes,freshly ground pepper,fresh mozzarella,fresh oregano,country bread,kosher salt,red wine vinegar,soppressata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3732,bread,olive oil,potatoes,garlic cloves,fresh basil,red cabbage,vegetable stock,onions,green cabbage,zucchini,cannellini beans,carrots,celery ribs,fresh tomatoes,grated parmesan cheese,chopped fresh thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733,egg yolks,brewed espresso,unsweetened cocoa powder,granulated sugar,whipping cream,orange liqueur,mini marshmallows,vanilla extract,chocolate candy bars,graham crackers,mint sprigs,"cream cheese, soften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3734,cracked black pepper,fat,roma tomatoes,salt,polenta,diced tomatoes,garlic cloves,gremolata,dry red wine,fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735,frozen pastry puff sheets,shredded mozzarella cheese,diced onions,extra-virgin olive oil,dried rosemary,sun-dried tomatoes,garlic,green onions,crumbled gorgonzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736,celery ribs,beef bouillon granules,salt,hot water,pepper,dry white wine,veal shanks,onions,parsley sprigs,fresh thyme,all-purpose flour,bay leaf,olive oil,butter,carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737,tomatoes,shallots,fresh lemon juice,sourdough bread,grated lemon zest,fresh basil leaves,kosher salt,extra-virgin olive oil,fresno chiles,ground black pepper,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3738,fresh basil,pinenuts,feta cheese,salt,vidalia onion,water,cooking spray,red bell pepper,capers,minced garlic,fresh parmesan cheese,pizza doughs,black pepper,olive oil,yellow bell pepper,cornmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3739,mushrooms,pizza doughs,fresh mozzarella,arugula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3740,minced garlic,broccoli rabe,sliced carrots,salt,dried oregano,savoy cabbage,kale,cannellini beans,chopped celery,country bread,parmigiano-reggiano cheese,dried thyme,yukon gold potatoes,crushed red pepper,plum tomatoes,water,cooking spray,extra-virgin olive oil,chopped onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741,large eggs,extra-virgin olive oil,scallions,fava beans,pattypan squash,baby zucchini,sorrel,chives,salt,garlic cloves,milk,peas,freshly ground pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3742,lemon,fresh basil leaves,salt and ground black pepper,garlic,parmesan cheese,walnuts,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3743,prepar pesto,parmigiano reggiano cheese,salt,flat leaf parsley,ground black pepper,fresh mozzarella,garlic cloves,milk,marinara sauce,Italian seasoned breadcrumbs,eggs,finely chopped onion,extra-virgin olive oil,ground turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3744,marinara sauce,provolone cheese,part-skim mozzarella cheese,Italian turkey sausage,pizza crust,yellow bell pepper,dried oregano,tomato paste,cooking spray,red bell pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3745,fresh basil leaves,soft fresh goat cheese,red bell pepper,country bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3746,eggs,butter,all-purpose flour,yellow food coloring,salt,semi-sweet chocolate morsels,almond extract,red food coloring,white sugar,seedless raspberry jam,color food green,almond paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3747,salami,parmigiano reggiano cheese,pizza doughs,large eggs,provolone cheese,bell pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,pasta,anchovies,chopped tomatoes,red wine,cinnamon sticks,clove,chili pepper,sun-dried tomatoes,red wine vinegar,salt,pecorino cheese,spanish onion,bay leaves,basil,dried oregano,black pepper,olive oil,meat,garlic,sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,radicchio,ciabatta,kosher salt,cheese,extra-virgin olive oil,ground black pepper,ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,milk,eggs,oil,dry bread crumbs,pitted black olives,gorgonzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,clams,garlic powder,heavy cream,dried parsley,green bell pepper,butter,fresh mushrooms,chicken broth,grated parmesan cheese,broccoli,pasta,ground black pepper,all-purpose flour,dried oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,pinenuts,garlic cloves,extra-virgin olive oil,dried currants,boneless pork loin,kosher salt,arugula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753,angel hair,chili pepper flakes,fresh parsley,ground black pepper,salt,grated parmesan cheese,chopped fresh herbs,olive oil,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3754,pepper,all-purpose flour,fresh basil,diced tomatoes,and fat free half half,tomato paste,olive oil,chopped onion,fat free less sodium chicken broth,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755,fat free less sodium chicken broth,dry white wine,salt,fresh basil,half & half,chees fresh mozzarella,grape tomatoes,leeks,extra-virgin olive oil,arborio rice,ground black pepper,balsamic vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3756,prego traditional italian sauce,italian pork sausage,grated parmesan cheese,olive oil,onions,pasta,red pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3757,egg whites,all-purpose flour,eggs,baking powder,white sugar,chopped almonds,bittersweet chocolate,baking soda,salt,orange zest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3758,large eggs,"frozen chopped spinach, thawed and squeezed dry",pepper,purple onion,yukon gold potatoes,olive oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3759,grated parmesan cheese,frozen cheese ravioli,pasta sauce,shredded mozzarella cheese,small curd cottage cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3760,amaretto,orange liqueur,lime slices,confectioners sugar,orange slices,crushed ice,sweet and sour mix,tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3761,olive oil,white wine vinegar,fresh lemon juice,water,extra-virgin olive oil,garlic cloves,black peppercorns,boneless skinless chicken breasts,salt,white bread,cooking spray,crushed red pepper,fresh mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3762,grated parmesan cheese,ground beef,tomatoes,shredded mozzarella cheese,lettuce,garlic,sliced green onions,Wish-Bone Italian Dressing,hoagi or roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763,shiitake,large garlic cloves,salt,pasta,vegetable stock,peas,baby zucchini,leeks,basil,white beans,italian tomatoes,wax beans,extra-virgin olive oil,freshly ground pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3764,tomato paste,olive oil,salt,minced garlic,cracked black pepper,sugar,basil,dried oregano,crushed tomatoes,crushed red pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3765,sugar,asiago,chopped onion,tomato sauce,olive oil,salt,fresh parsley,fresh basil,black pepper,diced tomatoes,garlic cloves,penne,ground turkey breast,fresh oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,chicken stock,parmesan cheese,extra-virgin olive oil,freshly ground pepper,borlotti beans,savoy cabbage,kale,large garlic cloves,chickpeas,thyme sprigs,pancetta,italian tomatoes,leeks,salt,carrots,onions,celery ribs,water,bay leaves,hot sauce,green beans,sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,green bell pepper,crushed tomatoes,onion powder,sausage links,whole peeled tomatoes,white sugar,tomato sauce,garlic powder,onions,hoagie buns,grated parmesan cheese,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3768,milk,cooked chicken,vegetables,spaghetti,garlic powder,condensed cream of mushroom soup,grated parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769,parmesan cheese,kosher salt,boneless skinless chicken breasts,tomatoes,ground black pepper,eggplant,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3770,salt,boiling potatoes,black pepper,fresh lemon juice,anchovy fillets,chopped garlic,extra-virgin olive oil,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3771,cranberry beans,red wine vinegar,freshly ground pepper,pasta,water,extra-virgin olive oil,flat leaf parsley,string beans,large garlic cloves,green beans,chicken stock,grated parmesan cheese,salt,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3772,kosher salt,garlic cloves,varnish clams,extra-virgin olive oil,shrimp,mussels,squid,flat leaf parsley,ground black pepper,lemon juice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773,olive oil,lemon rind,black pepper,cooking spray,flat leaf parsley,minced garlic,salt,asparagus,fresh lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3774,active dry yeast,purple onion,fresh rosemary,balsamic vinegar,all-purpose flour,olive oil,salt,semolina flour,crushed red pepper flakes,gorgonzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775,part-skim mozzarella cheese,tomatoes,whole wheat thin italian pizza crust,pepperoni slices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776,ground black pepper,chopped walnuts,fat free less sodium chicken broth,extra-virgin olive oil,fresh parmesan cheese,salt,basil leaves,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3777,grape tomatoes,basil leaves,pepper,fresh mozzarella,olive oil,sea salt,quinoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778,yellow squash,fresh thyme,red bell pepper,tomato purée,eggplant,salt,oregano,olive oil,crushed red pepper flakes,onions,pepper,zucchini,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779,butter,purple onion,cooked chicken breasts,roma tomatoes,heavy cream,bow-tie pasta,Alfredo sauce,bacon,garlic salt,ground black pepper,asiago,salt,chopped garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780,hazelnuts,baking powder,unsalted butter,all-purpose flour,sugar,Nutella,bittersweet chocolate,milk chocolate,large eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781,olive oil,anchovy fillets,romaine lettuce,grated parmesan cheese,fresh lemon juice,mayonaise,worcestershire sauce,bread,dijon mustard,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3782,fresh rosemary,frozen pizza dough,grated parmesan cheese,olive oil,onions,sweet potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783,fresh basil,radishes,fresh lemon juice,black pepper,artichokes,great northern beans,extra-virgin olive oil,sliced green onions,asparagus,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784,grated parmesan cheese,shredded mozzarella cheese,pasta sauce,lean ground beef,egg whites,dried oregano,cottage cheese,manicotti pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3785,baby spinach leaves,cooking spray,pizza doughs,part-skim mozzarella cheese,extra-virgin olive oil,minced garlic,pizza sauce,plum tomatoes,fresh parmesan cheese,part-skim ricotta cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786,minced garlic,tomatoes,red bell pepper,pepper,onions,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787,baby spinach,salt,parmigiano reggiano cheese,extra-virgin olive oil,fusilli,crushed red pepper,prosciutto,diced tomatoes,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,cold water,salt,flour,sage leaves,cracked black pepper,olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3789,unsalted butter,penne rigate,pinenuts,salt,black pepper,parmigiano reggiano cheese,chopped garlic,olive oil,mixed greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,ground black pepper,ricotta cheese,grated parmesan cheese,asparagus spears,olive oil,green onions,chopped fresh mint,large eggs,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3791,water,chopped onion,pepper,olive oil,chunky pasta sauce,long-grain rice,chicken breast tenders,creole seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3792,prosciutto,fresh mushrooms,olive oil,black olives,steak seasoning,mozzarella cheese,flank steak,sausages,garlic powder,mortadella,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3793,capers,water,crushed red pepper,boneless skinless chicken breast halves,romano cheese,sherry vinegar,garlic cloves,marsala wine,olive oil,salt,dried oregano,frozen chopped spinach,seasoned bread crumbs,golden raisins,corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3794,water,parsley leaves,cake flour,large egg yolks,large garlic cloves,olive oil,dry white wine,porcini,unsalted butter,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3795,orange bell pepper,dry white wine,arborio rice,asparagus bean,crabmeat,Swanson Chicken Broth,chopped onion,olive oil,grated parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3796,pepper,green onions,garlic cloves,fresh basil,parmesan cheese,peas,olive oil,balsamic vinegar,fresh lemon juice,french baguette,grated parmesan cheese,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3797,sugar,balsamic vinegar,freshly ground pepper,baguette,purple onion,plum tomatoes,pepper,garlic,"roast red peppers, drain",olive oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3798,Italian cheese,garlic,chopped onion,green bell pepper,mild Italian sausage,shredded sharp cheddar cheese,ground beef,pepper,chopped celery,rotini,tomato sauce,diced tomatoes,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3799,fresh basil,large egg whites,lasagna noodles,"cream cheese, soften",sugar,artichoke hearts,crushed red pepper,pasta sauce,olive oil,low-fat ricotta cheese,tomatoes,sweet onion,parmesan cheese,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,olive oil,spaghettini,fresh basil,large garlic cloves,cherry tomatoes,fresh lemon juice,clams,grated parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,large eggs,anise,sugar,cooking spray,melted butter,chopped almonds,all-purpose flour,large egg whites,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3802,tomato paste,garlic cloves,italian seasoning,tomato sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,ground black pepper,fresh tarragon,balsamic vinegar,salt,shallots,extra-virgin olive oil,heirloom tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3804,ground cinnamon,reduced fat milk,spelt,salt,sugar,cooking spray,vanilla beans,ground cardamom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3805,crushed tomatoes,cheese tortellini,onions,butter,salt,ground black pepper,peas,heavy cream,ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3806,spaghetti,cracked black pepper,pecorino romano cheese,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3807,salmon fillets,fresh lemon,penne pasta,olive oil,garlic,fresh asparagus,white pepper,heavy cream,dried dillweed,grated parmesan cheese,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3808,black pepper,radishes,Italian parsley leaves,baby carrots,olive oil,dry white wine,cilantro leaves,small red potato,sugar pea,asparagus,watercress,grated lemon zest,fresh lemon juice,fat free less sodium chicken broth,mint leaves,salt,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3809,hazelnuts,cream cheese,granulated sugar,bittersweet chocolate,unsalted butter,sour cream,pure vanilla extract,large eggs,crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3810,pepper,garlic,nonfat buttermilk,basil,oregano,nonfat mayonnaise,paprika,tomato juice,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,pure vanilla extract,corn husks,green figs,sugar,unsalted butter,aged balsamic vinegar,mascarpone,raspberries,Amaretti Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3812,pepper,whole wheat spaghetti,sweet italian sausage,onions,parmesan cheese,garlic,flat leaf parsley,dried basil,diced tomatoes,carrots,chicken broth,potatoes,salt,celery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3813,butter,black pepper,salt,heavy cream,grated parmesan cheese,noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,tomato paste,olive oil,hot sauce,white sugar,capers,pitted green olives,garlic cloves,cumin,tomatoes,prepared horseradish,portobello caps,dried oregano,green chile,diced tomatoes,fresh parsley,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3815,bread crumb fresh,fresh parmesan cheese,fresh lemon juice,capers,low-fat spaghetti sauce,dry red wine,fettucine,pinenuts,flank steak,fresh parsley,vegetable oil cooking spray,olive oil,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3816,mozzarella cheese,ground beef,pasta sauce,basil,spaghetti,pepper,onions,tomato sauce,salt,oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3817,shallots,garlic cloves,pork,penne pasta,wild mushrooms,spinach leaves,crushed red pepper,low salt chicken broth,olive oil,provolone cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3818,beans,ground black pepper,diced tomatoes,garlic salt,kosher salt,chili powder,extra-virgin olive oil,reduced sodium chicken broth,finely chopped onion,tortellini,ground cumin,minced garlic,lean ground beef,chopped cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,capers,ground black pepper,large shrimp,tomatoes,crushed tomatoes,garlic,pitted black olives,red pepper flakes,dried rosemary,fresh rosemary,olive oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,bulk italian sausag,chicken broth,cannellini beans,olive oil,tomato sauce,escarole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3821,grating cheese,risotto,plain breadcrumbs,eggs,salt,olive oil,panko breadcrumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3822,fresh basil,grated parmesan cheese,refrigerated four cheese ravioli,fresh tomatoes,Alfredo sauce,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3823,minced garlic,beef broth,fresh spinach,worcestershire sauce,ground beef,tomato purée,part-skim mozzarella cheese,penne pasta,pepper,salt,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3824,red cabbage,garlic cloves,extra-virgin olive oil,caraway seeds,chopped onion,red wine vinegar,low salt chicken broth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825,kale,garlic,balsamic vinegar,salt and ground black pepper,olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3826,garlic powder,garlic salt,grated parmesan cheese,dried rosemary,dried basil,french bread,dried thyme,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3827,ground black pepper,all-purpose flour,fettucine,1% low-fat milk,applewood smoked bacon,parmigiano reggiano cheese,fresh parsley,minced garlic,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3828,capers,pork tenderloin,lemon juice,water,salt,pepper,cooking spray,fresh parsley,olive oil,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3829,zucchini,garlic,pepper,lemon,almond milk,cherry tomatoes,basil,cucumber,avocado,basil leaves,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3830,italian sausage,olive oil,garlic,canned low sodium chicken broth,mushrooms,fresh parsley,angel hair,ground black pepper,salt,dried thyme,red pepper flakes,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3831,eggs,vegetable oil,white sugar,egg whites,salt,sesame seeds,red wine,baking powder,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3832,eggs,shredded parmesan cheese,heavy cream,thick-cut bacon,cooked chicken,scallions,linguine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3833,Domino Confectioners Sugar,"cream cheese, soften",biscotti,half & half,sorbet,toasted slivered almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3834,red potato,italian seasoning,olive oil,bread crumbs,parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3835,unsalted butter,pear tomatoes,pancetta,grated parmesan cheese,squash,kosher salt,baby arugula,fresh parsley,zucchini,orzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
